Target,Build,Load,Config,DB,GUI,Chat,SePay,Card,QR,Rewards,OfflineReward,Discord,HTTP,Placeholder,Stats,Folia,Shutdown,Recovery,Status
fabric-1.20.6,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.10,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.11,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.6,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.7,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.8,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-1.21.9,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
fabric-26.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
fabric-26.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
forge-umbrella,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
forge-1.14.2,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
forge-1.14.3,UNSUPPORTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,UNSUPPORTED
forge-1.14.4,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.15,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.15.1,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.15.2,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.16.1,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.16.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.16.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.16.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.16.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.17.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.18,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.18.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.18.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.19,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.19.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.19.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.19.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.19.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.20,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.20.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.20.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
forge-1.20.3,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.20.4,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.20.6,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.1,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.10,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.11,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.3,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.4,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.5,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.6,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.7,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.8,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-1.21.9,SOURCE_ONLY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE_ONLY
forge-26.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
forge-26.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
neoforge-1.20.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.20.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.20.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.20.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.20.6,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.10,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.11,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.3,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.4,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.5,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.6,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.7,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.8,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-1.21.9,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,BUILDABLE
neoforge-26.1,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
neoforge-26.2,PASS,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,UNTESTED,N/A,UNTESTED,UNTESTED,EXPERIMENTAL
plugin-paper,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PRODUCTION_READY
